Station	Day	Month	Year	Lat	Long	Gear	Start.Depth	End.Depth	Family	Genus	Species	M.F	Life.Stage	Time.of.Day.	Parent.Jar	Expedition
740644	10	10	1970	39.8117	-20.3517	RMT8	NA	NA	Eupausiidae	Thysanopoda	Thysanopoda microphthalma	F	NA	NA	No	Late_Discovery
9962	13	2	1979	NA	NA	ENGINEFILTERS	NA	NA	NA	NA	NA	NA	NA	NA	No	NA
740644	10	10	1970	39.8117	-20.3517	RMT8	745	760	NA	NA	NA	NA	NA	NA	Yes	Late_Discovery
669505	13	2	1968	NA	NA	TMT85	500	410	Eupausiidae	NA	NA	NA	NA	NA	No	Late_Discovery
6675	2	3	1968	NA	NA	TMT85	1000	0	Eupausiidae	Hansarsia	NA	NA	NA	NA	Yes	NA
748201	7	11	1970	39.8583	-20.0617	RMT8	2500	2000	Eupausiidae	Thysanopoda	Thysanopoda cornuta	F	NA	Night	No	Late_Discovery
740612	3	10	1970	39.83	-20.2583	RMT8	100	52	Eupausiidae	Hansarsia	Hansarsia microps	NA	NA	NA	No	Late_Discovery
707501	31	10	1969	21.6667	-25.4633	RMT90	400	0	Eupausiidae	Thysanopoda	NA	NA	NA	NA	No	Late_Discovery
705901	26	10	1969	21.1683	-22.1967	RMT1	1000	0	Eupausiidae	Hansarsia	NA	NA	NA	NA	Yes	Late_Discovery
708903	12	11	1969	17.7483	-25.4817	RMT1	300	210	NA	NA	NA	NA	NA	Night	Yes	Late_Discovery
740605	1	10	1970	39.9717	-20.2783	RMT8	195	110	Eupausiidae	Hansarsia	Hansarsia megalops	NA	Adolescent	NA	No	Late_Discovery
740605	1	10	1970	39.9717	-20.2783	RMT8	195	110	Eupausiidae	Hansarsia	Hansarsia megalops	F	NA	NA	No	Late_Discovery
708952	21	11	1969	17.8033	-25.4717	RMT8/150	540	0	Eupausiidae	Thysanopoda	NA	NA	NA	NA	No	Late_Discovery
740643	10	10	1970	39.9083	-20.31	RMT8	1500	1260	Eupausiidae	NA	NA	NA	NA	Day	No	Late_Discovery
708944	20	11	1969	17.8717	-25.4783	RMT8	400	310	Eupausiidae	Thysanopoda	Thysanopoda cristata	NA	NA	Day	No	Late_Discovery
740601	1	10	1970	40.0417	-20.1317	RMT8	205	110	Eupausiidae	NA	NA	NA	NA	Day	Yes	Late_Discovery
3296	14	11	1955	NA	NA	N70H	5	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
2760	22	11	1950	-61.66666667	-172.2833333	N100H	0	0	Eupausiidae	NA	NA	NA	Juvenile	NA	No	Early_Discovery
1720	26	3	1936	-63.985	100.185	N100B	104	0	Eupausiidae	NA	NA	NA	NA	NA	No	Early_Discovery
197	3	4	1927	-62.45	-58.19166667	N100H	67	NA	Eupausiidae	NA	NA	NA	NA	NA	No	Early_Discovery
2501	5	12	1938	-55.50333333	1.395	N70V	NA	NA	Eupausiidae	NA	NA	NA	Larvae	NA	Yes	Early_Discovery
2498	3	12	1938	-52.89166667	0.838333333	N70V	NA	NA	Eupausiidae	NA	NA	NA	Larvae	NA	Yes	Early_Discovery
1781	2	6	1936	0	0	N70V	NA	NA	Eupausiidae	NA	NA	NA	Larvae	NA	Yes	Early_Discovery
636	16	6	1931	-22.075	-70.6	N100B	65	0	Eupausiidae	NA	NA	NA	NA	NA	No	William_Scoresby
2764	24	11	1950	-61.75	179.3333333	N100B	183	0	Eupausiidae	NA	NA	NA	NA	NA	Yes	Early_Discovery
2748	18	11	1950	-59.46666667	-156.0833333	N100H	0	0	Eupausiidae	NA	NA	NA	NA	NA	No	Early_Discovery
2763	23	11	1950	-61.15	-177.9666667	N100H	0	0	Eupausiidae	NA	NA	NA	NA	NA	Yes	Early_Discovery
1037639	29	5	1981	33.3717	-33.5667	RMT8	NA	NA	Eupausiidae	NA	NA	NA	NA	NA	Yes	Late_Discovery
2758	22	11	1950	-61.83333333	-171.1333333	N100B	99	0	Eupausiidae	NA	NA	NA	Juvenile	NA	No	Early_Discovery
NA	20	2	1979	NA	NA	NA	NA	NA	NA	NA	NA	F	Adult	NA	No	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	Eupausiidae	Meganyctiphanes	Meganyctiphanes norvegica	NA	NA	NA	No	NA
2757	21	11	1950	-60.8	-169.0333333	N100H	0	0	Eupausiidae	NA	NA	NA	Juvenile	NA	No	Early_Discovery
2749	19	11	1950	-58.85	-158.25	N100B	117	0	Eupausiidae	Thysanoessa	NA	NA	Juvenile	NA	No	Early_Discovery
2746	18	11	1950	-59.75	-153.75	N100B	132	0	Eupausiidae	Thysanoessa	NA	NA	Larvae	NA	No	Early_Discovery
2766	24	11	1950	-62.25	176.8333333	N100H	0	0	Eupausiidae	NA	NA	NA	NA	NA	No	Early_Discovery
1037618	27	5	1981	33.2033	-33.3917	RMT8	400	500	Eupausiidae	Nematobrachion	Nematobrachion flexipes	M	NA	NA	No	Late_Discovery
NA	21	1	1036	NA	NA	NA	0	0	Eupausiidae	Euphasuia	Euphausia crystallorophias	NA	NA	NA	No	NA
3478	23	9	1956	NA	NA	1KMT	500	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
3702	10	4	1958	NA	NA	1KMT	700	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
3471	15	9	1956	NA	NA	1KMT	1250	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
3689	5	4	1958	NA	NA	1KMT	800	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4259	28	9	1959	NA	NA	1KMT	830	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4961	28	6	1962	NA	NA	1KMT	450	50	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4949	16	6	1962	NA	NA	1KMT	575	400	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4951	17	6	1962	NA	NA	1KMT	300	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4960	27	6	1962	NA	NA	1KMT	450	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4918	29	5	1962	NA	NA	1KMT	210	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4669	20	8	2961	NA	NA	1KMT	800	0	Eupausiidae	NA	NA	NA	NA	NA	Yes	NA
4237	2	9	1959	NA	NA	1KMT	400	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4258	27	9	1959	NA	NA	1KMT	500	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4937	9	6	1962	NA	NA	1KMT	965	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4941	11	5	1962	NA	NA	1KMT	440	400	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4921	31	5	1962	NA	NA	1KMT	950	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4957	24	6	1962	NA	NA	1KMT	550	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4947	15	6	1962	NA	NA	1KMT	600	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4242	3	9	1962	NA	NA	1KMT	600	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4671	22	8	1961	NA	NA	1KMT	450	300	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4670	21	8	1961	NA	NA	1KMT	510	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4028	18	2	1959	NA	NA	1KMT	385	NA	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4743	20	9	1961	NA	NA	BCMT	170	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4956	23	6	1962	NA	NA	1KMT	85	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4750	25	9	1961	NA	NA	BCMT	100	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4918	29	5	1962	NA	NA	1KMT	210	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4949	16	6	1962	NA	NA	1KMT	180	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4944	13	6	1962	NA	NA	1KMT	850	500	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4957	24	6	1962	NA	NA	1KMT	600	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4937	9	6	1962	NA	NA	1KMT	1150	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4934	8	6	1962	NA	NA	1KMT	170	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4732	12	9	1961	NA	NA	1KMT	80	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4947	15	6	1962	NA	NA	1KMT	650	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4916	16	5	1962	NA	NA	1KMT	210	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4826	23	3	1962	NA	NA	1KMT	200	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
2768	25	11	1950	-63	175.0833333	N100B	82	0	Eupausiidae	Thysanoessa	NA	NA	NA	NA	No	Early_Discovery
5806	3	11	1965	NA	NA	1KMT	310	260	Eupausiidae	NA	NA	NA	NA	NA	No	NA
5353	24	4	1964	NA	NA	1KMT	330	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
5825	26	11	1965	NA	NA	N113H	700	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
